virus,host,occupation,individual_id,cluster_id,year,month,onset_day,country,city,state,probable_source,transmission_min,transmission_max,infection,symptomatic,outcome,reference,Notes
HeV,horse,NA,H034,C010,2008,Jun,30,Australia,Redlands,Queensland,H033,0,2,confirmed,yes,euthanized,Field et al. 2010,
HeV,horse,NA,H035,C010,2008,Jul,4,Australia,Redlands,Queensland,H033,0,2,confirmed,yes,euthanized,Field et al. 2010,
HeV,horse,NA,H036,C010,2008,Jul,7,Australia,Redlands,Queensland,H033,0,1,confirmed,yes,euthanized,Field et al. 2010,
HeV,horse,NA,H037,C010,2008,Jul,24,Australia,Redlands,Queensland,"H033, H034, H035, H036",0,0,confirmed,yes,euthanized,Field et al. 2010,
HeV,human,veterinarian,P005,C010,2008,Jul,15,Australia,Redlands,Queensland,H033,0,0,confirmed,yes,died,Queensland Ombudsman 2011,
HeV,human,veterinary nurse,P006,C010,2008,Jul,17,Australia,Redlands,Queensland,"H033, H034, H035",0,0,confirmed,yes,survived,Queensland Ombudsman 2011,
HeV,horse,NA,H038,C011,2008,Jul,3,Australia,Proserpine,Queensland,bat,1,1,not tested,yes,died,Queensland Ombudsman 2011,
HeV,horse,NA,H039,C011,2008,Jul,10,Australia,Proserpine,Queensland,H038,1,1,confirmed,yes,died,Queensland Ombudsman 2011,
HeV,horse,NA,H040,C011,2008,Jul,15,Australia,Proserpine,Queensland,H039,1,1,confirmed,yes,euthanized,Queensland Ombudsman 2011,
HeV,horse,NA,H041,C011,2008,Jul,21,Australia,Proserpine,Queensland,H040,0,0,confirmed,yes,survived-euthanized,Queensland Ombudsman 2011,
HeV,horse,NA,H042,C012,2009,Jul,27,Australia,Cawarral ,Queensland,bat,3,3,not tested,yes,died,Queensland Ombudsman 2011,strong epidemiological evidence of infection (only possible exposure for infected veterinarian)
HeV,horse,NA,H043,C012,2009,Aug,7,Australia,Cawarral ,Queensland,H042,0,0,confirmed,yes,died,Queensland Ombudsman 2011,
HeV,horse,NA,H044,C012,2009,Aug,8,Australia,Cawarral ,Queensland,H042,0,0,confirmed,yes,died,Queensland Ombudsman 2011,
HeV,horse,NA,H045,C012,2009,Aug,17,Australia,Cawarral ,Queensland,NA,0,0,confirmed,yes,survived-euthanized,Queensland Ombudsman 2011,only death date given; onset esimated seven days earlier
HeV,human,veterinarian,P007,C012,2009,Aug,18,Australia,Cawarral ,Queensland,H042,0,0,confirmed,yes,died,Queensland Ombudsman 2011,only death date given
HeV,horse,NA,H046,C013,2009,Aug,26,Australia,Bowen,Queensland,bat,1,1,confirmed,yes,died,Queensland Ombudsman 2011,"tested post mortem; exact onset unknown, estimated as subsequent onset - 7 days"
HeV,horse,NA,H047,C013,2009,Sep,2,Australia,Bowen,Queensland,H046,0,0,confirmed,yes,euthanized,Queensland Ombudsman 2011,onset after death of H046 but exact interval not available
HeV,horse,NA,H048,C013,2009,Sep,NA,Australia,Bowen,Queensland,NA,NA,NA,not tested,no,euthanized,Queensland Ombudsman 2011,exposed to H047 but no symptoms developed; preemptively euthanised
HeV,horse,NA,H049,C014,2010,May,NA,Australia,Tewantin ,Queensland,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H050,C015,2011,Jun,NA,Australia,Beaudesert ,Queensland,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H051,C016,2011,Jun,NA,Australia,Boonah,Queensland,bat,0,2,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H052,C016,2011,Jun,NA,Australia,Boonah,Queensland,H051,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H053,C016,2011,Jun,NA,Australia,Boonah,Queensland,H051,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H054,C017,2011,Jun,NA,Australia,Logan,Queensland,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H055,C018,2011,Jun,30,Australia,Wollongbar,New South Wales,bat,1,1,confirmed,yes,euthanized,NSW Media Release,
HeV,horse,NA,H056,C018,2011,Jul,12,Australia,Wollongbar,New South Wales,H055,0,0,confirmed,yes,euthanized,NSW Media Release,companion horse of H055 and onset 11 days later
HeV,horse,NA,H057,C019,2011,Jul,NA,Australia,Park Ridge ,Queensland,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H058,C020,2011,Jul,NA,Australia,Macksville,New South Wales,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H059,C021,2011,Jul,NA,Australia,Kuranda,Queensland,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H060,C022,2011,Jul,NA,Australia,Lismore,New South Wales,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H061,C023,2011,Jul,NA,Australia,Hervey Bay,Queensland,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H062,C024,2011,Jul,NA,Australia,Boondall,Queensland,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H063,C025,2011,Jul,NA,Australia,Chinchilla,Queensland,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H064,C026,2011,Jul,NA,Australia,Mullumbimby,New South Wales,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H065,C027,2011,Aug,NA,Australia,Ballina,New South Wales,bat,0,0,confirmed,yes,euthanized,Queensland Government 2019,
HeV,horse,NA,H066,C028,2011,Aug,NA,Australia,South Ballina,New South Wales,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H067,C028,2011,Aug,NA,Australia,South Ballina,New South Wales,,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H068,C029,2011,Aug,NA,Australia,Mullumbimby,New South Wales,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H069,C030,2011,Aug,NA,Australia,Gold Coast Hinterland ,Queensland,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H070,C031,2011,Aug,NA,Australia,North Ballina ,New South Wales,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H071,C032,2011,Oct,NA,Australia,Beachmere,Queensland,bat,0,2,not tested,yes,euthanized,Queensland Government 2019,
HeV,horse,NA,H072,C032,2011,Oct,NA,Australia,Beachmere,Queensland,H071,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H073,C032,2011,Oct,NA,Australia,Beachmere,Queensland,H071,0,0,confirmed,no,euthanized,Queensland Government 2019,
HeV,horse,NA,H074,C033,2012,Jan,NA,Australia,Townsville,Queensland,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H075,C034,2012,May,NA,Australia,Rockhampton,Queensland,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H076,C035,2012,May,NA,Australia,Ingham,Queensland,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H077,C036,2012,Jun,NA,Australia,Mackay,Queensland,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H078,C037,2012,Jul,NA,Australia,Rockhampton,Queensland,bat,0,2,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H079,C037,2012,Jul,NA,Australia,Rockhampton,Queensland,H078,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H080,C037,2012,Jul,NA,Australia,Rockhampton,Queensland,H078,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H081,C038,2012,Jul,NA,Australia,Cairns ,Queensland,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H082,C039,2012,Sep,NA,Australia,Port Douglas,Queensland,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H083,C040,2012,Oct,NA,Australia,Ingham,Queensland,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H084,C041,2013,Jan,NA,Australia,Mackay,Queensland,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H085,C042,2013,Feb,NA,Australia,Atherton Tablelands,Queensland,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H086,C043,2013,Jun,NA,Australia,Macksville ,New South Wales,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H087,C044,2013,Jun,NA,Australia,Brisbane Valley,Queensland,bat,0,0,confirmed,yes,euthanized,Queensland Government 2019,
HeV,horse,NA,H088,C045,2013,Jul,NA,Australia,Gold Coast Hinterland ,Queensland,bat,0,0,confirmed,yes,euthanized,Queensland Government 2019,
HeV,horse,NA,H089,C046,2013,Jul,NA,Australia,Macksville,New South Wales,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H090,C047,2013,Jul,NA,Australia,Kempsey,New South Wales,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H091,C047,2013,Jul,NA,Australia,Kempsey,New South Wales,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H092,C048,2014,Mar,NA,Australia,Bundaberg,Queensland,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H093,C049,2014,Jun,NA,Australia,Beenleigh ,Queensland,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H094,C050,2014,Jun,NA,Australia,Murwillimbah,New South Wales,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
HeV,horse,NA,H095,C051,2014,Jul,NA,Australia,Gladstone,Queensland,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H096,C052,2015,Jun,NA,Australia,Murwillimbah,New South Wales,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H097,C053,2015,Jul,NA,Australia,Atherton Tablelands,Queensland,bat,0,0,confirmed,yes,died,Queensland Government 2019,
HeV,horse,NA,H098,C054,2015,Sep,NA,Australia,Lismore,New South Wales,bat,0,0,confirmed,yes,died-or-euthanized,Queensland Government 2019,
